address_id,address_string,parsing_errors,address_components,model_id
21,6 Monticello Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 6,
        ""last_building_number"": 6,
        ""street"": ""Monticello Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
22,9227-9331 Coors Boulevard Northwest,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 9227,
        ""last_building_number"": 9331,
        ""street"": ""Coors Boulevard Northwest""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
23,2021 Highridge Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2021,
        ""last_building_number"": 2021,
        ""street"": ""Highridge Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
24,10461 East Apache Trail,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 10461,
        ""last_building_number"": 10461,
        ""street"": ""East Apache Trail""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
25,905-993 Lomas Santa Fe Drive,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 905,
        ""last_building_number"": 993,
        ""street"": ""Lomas Santa Fe Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
26,780 Ocean Beach Highway,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 780,
        ""last_building_number"": 780,
        ""street"": ""Ocean Beach Highway""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
27,4101  Brittany Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 4101,
        ""last_building_number"": 4101,
        ""street"": ""Brittany Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
28,1650 Richmond Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1650,
        ""last_building_number"": 1650,
        ""street"": ""Richmond Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
29,10105 224th Street E,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 10105,
        ""last_building_number"": 10105,
        ""street"": ""224th Street E""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
30,2207 South Western Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2207,
        ""last_building_number"": 2207,
        ""street"": ""South Western Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
31,6601 Abercorn Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 6601,
        ""last_building_number"": 6601,
        ""street"": ""Abercorn Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
32,5001 Monroe Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 5001,
        ""last_building_number"": 5001,
        ""street"": ""Monroe Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
33,800 South Salisbury Blvd.,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 800,
        ""last_building_number"": 800,
        ""street"": ""South Salisbury Blvd.""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
34,9401-9453 Katy Freeway,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 9401,
        ""last_building_number"": 9453,
        ""street"": ""Katy Freeway""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
35,5350 Tech Data Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 5350,
        ""last_building_number"": 5350,
        ""street"": ""Tech Data Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
36,2320 Northeast 5th Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2320,
        ""last_building_number"": 2320,
        ""street"": ""Northeast 5th Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
37,122 South Michigan Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 122,
        ""last_building_number"": 122,
        ""street"": ""South Michigan Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
38,2930 SW 23rd Terrace,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2930,
        ""last_building_number"": 2930,
        ""street"": ""SW 23rd Terrace""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
39,120 West Railroad Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 120,
        ""last_building_number"": 120,
        ""street"": ""West Railroad Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
40,2220 West Mission Lane,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2220,
        ""last_building_number"": 2220,
        ""street"": ""West Mission Lane""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
41,3520 East Dupont Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 3520,
        ""last_building_number"": 3520,
        ""street"": ""East Dupont Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
42,8251 West Union Hills Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 8251,
        ""last_building_number"": 8251,
        ""street"": ""West Union Hills Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
43,3801-3899 Aramingo Avenue,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 3801,
        ""last_building_number"": 3899,
        ""street"": ""Aramingo Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
44,5849 Peachtree Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 5849,
        ""last_building_number"": 5849,
        ""street"": ""Peachtree Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
45,3447-3469 University Drive,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 3447,
        ""last_building_number"": 3469,
        ""street"": ""University Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
46,3906-3910 Buena Vista Street,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 3906,
        ""last_building_number"": 3910,
        ""street"": ""Buena Vista Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
47,6380 South Valley View Boulevard,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 6380,
        ""last_building_number"": 6380,
        ""street"": ""South Valley View Boulevard""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
48,2501 Anken Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2501,
        ""last_building_number"": 2501,
        ""street"": ""Anken Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
49,25421 Alta Loma,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 25421,
        ""last_building_number"": 25421,
        ""street"": ""Alta Loma""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
50,5500 Nolansville Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 5500,
        ""last_building_number"": 5500,
        ""street"": ""Nolansville Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
51,4002 South Cedar Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 4002,
        ""last_building_number"": 4002,
        ""street"": ""South Cedar Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
52,1401-1419 First Avenue & 92-96Union Street,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 1401,
        ""last_building_number"": 1419,
        ""street"": ""First Avenue""
    },
    {
        ""address_type"": ""range"",
        ""first_building_number"": 92,
        ""last_building_number"": 96,
        ""street"": ""Union Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
53,95 Powers Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 95,
        ""last_building_number"": 95,
        ""street"": ""Powers Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
54,301 West Gonzales Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 301,
        ""last_building_number"": 301,
        ""street"": ""West Gonzales Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
55,710 S. Frontage Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 710,
        ""last_building_number"": 710,
        ""street"": ""S. Frontage Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
56,4633 La Palma Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 4633,
        ""last_building_number"": 4633,
        ""street"": ""La Palma Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
57,11720 and 11730 Plaza America Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 11720,
        ""last_building_number"": 11720,
        ""street"": ""Plaza America Drive""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 11730,
        ""last_building_number"": 11730,
        ""street"": ""Plaza America Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
58,18000-18080 Matney Road,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 18000,
        ""last_building_number"": 18080,
        ""street"": ""Matney Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
59,9515 North Lamar Boulevard,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 9515,
        ""last_building_number"": 9515,
        ""street"": ""North Lamar Boulevard""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
60,2005 Broadhollow Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2005,
        ""last_building_number"": 2005,
        ""street"": ""Broadhollow Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
61,4140 East Lancaster Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 4140,
        ""last_building_number"": 4140,
        ""street"": ""East Lancaster Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
62,5601 Pacific Highway East,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 5601,
        ""last_building_number"": 5601,
        ""street"": ""Pacific Highway East""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
63,9550 West Sahara Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 9550,
        ""last_building_number"": 9550,
        ""street"": ""West Sahara Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
64,251-255 Najoles Road,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 251,
        ""last_building_number"": 255,
        ""street"": ""Najoles Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
65,8570 Hermosa Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 8570,
        ""last_building_number"": 8570,
        ""street"": ""Hermosa Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
66,"16505 & 16541 Redmond Way and 16421, 16528 & 16564 Cleveland Street",False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 16505,
        ""last_building_number"": 16505,
        ""street"": ""Redmond Way""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 16541,
        ""last_building_number"": 16541,
        ""street"": ""Redmond Way""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 16421,
        ""last_building_number"": 16421,
        ""street"": ""Cleveland Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 16528,
        ""last_building_number"": 16528,
        ""street"": ""Cleveland Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 16564,
        ""last_building_number"": 16564,
        ""street"": ""Cleveland Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
67,Clinton Street,False,"[
    {
        ""address_type"": ""approximate"",
        ""first_building_number"": null,
        ""last_building_number"": null,
        ""street"": ""Clinton Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
68,2828 West Thunderbird Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2828,
        ""last_building_number"": 2828,
        ""street"": ""West Thunderbird Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
69,1210 Parklane Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1210,
        ""last_building_number"": 1210,
        ""street"": ""Parklane Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
70,1415 Main Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1415,
        ""last_building_number"": 1415,
        ""street"": ""Main Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
71,1743 Park Center Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1743,
        ""last_building_number"": 1743,
        ""street"": ""Park Center Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
72,10935 US Highway 98 West,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 10935,
        ""last_building_number"": 10935,
        ""street"": ""US Highway 98 West""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
73,1250 Tech Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1250,
        ""last_building_number"": 1250,
        ""street"": ""Tech Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
74,38 West 9th Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 38,
        ""last_building_number"": 38,
        ""street"": ""West 9th Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
75,245 Front Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 245,
        ""last_building_number"": 245,
        ""street"": ""Front Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
76,500 South Salina Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 500,
        ""last_building_number"": 500,
        ""street"": ""South Salina Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
77,33 Homestretch Lane,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 33,
        ""last_building_number"": 33,
        ""street"": ""Homestretch Lane""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
78,"1869 Mintwood Place, NW",False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1869,
        ""last_building_number"": 1869,
        ""street"": ""Mintwood Place, NW""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
79,12655 Southwest Freeway,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 12655,
        ""last_building_number"": 12655,
        ""street"": ""Southwest Freeway""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
80,6730 4th Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 6730,
        ""last_building_number"": 6730,
        ""street"": ""4th Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
81,3585-3595 Central Avenue,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 3585,
        ""last_building_number"": 3595,
        ""street"": ""Central Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
82,1805 30th Street Northwest,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1805,
        ""last_building_number"": 1805,
        ""street"": ""30th Street Northwest""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
83,1106 N. St. Augustine Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1106,
        ""last_building_number"": 1106,
        ""street"": ""N. St. Augustine Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
84,10282-10492 Trask Avenue,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 10282,
        ""last_building_number"": 10492,
        ""street"": ""Trask Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
85,13414 Clayton Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 13414,
        ""last_building_number"": 13414,
        ""street"": ""Clayton Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
86,805 NE Kane Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 805,
        ""last_building_number"": 805,
        ""street"": ""NE Kane Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
87,45 Clinton Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 45,
        ""last_building_number"": 45,
        ""street"": ""Clinton Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
88,1620 Bay Area Boulevard,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1620,
        ""last_building_number"": 1620,
        ""street"": ""Bay Area Boulevard""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
89,25 High Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 25,
        ""last_building_number"": 25,
        ""street"": ""High Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
90,120 Old Post Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 120,
        ""last_building_number"": 120,
        ""street"": ""Old Post Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
91,2500 Marcus Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 2500,
        ""last_building_number"": 2500,
        ""street"": ""Marcus Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
92,4339 Cutler Avenue NE,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 4339,
        ""last_building_number"": 4339,
        ""street"": ""Cutler Avenue NE""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
93,3301 Hampton Highway,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 3301,
        ""last_building_number"": 3301,
        ""street"": ""Hampton Highway""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
94,8343 Hogan Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 8343,
        ""last_building_number"": 8343,
        ""street"": ""Hogan Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
95,9-58 Cynthias Place,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 9,
        ""last_building_number"": 58,
        ""street"": ""Cynthias Place""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
96,6003 Old Bullard Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 6003,
        ""last_building_number"": 6003,
        ""street"": ""Old Bullard Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
97,"1700, 1710, 1716, 1730 4th Street",False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1700,
        ""last_building_number"": 1700,
        ""street"": ""4th Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1710,
        ""last_building_number"": 1710,
        ""street"": ""4th Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1716,
        ""last_building_number"": 1716,
        ""street"": ""4th Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1730,
        ""last_building_number"": 1730,
        ""street"": ""4th Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
98,5914 Buffalo Avenue and 13545 Califa Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 5914,
        ""last_building_number"": 5914,
        ""street"": ""Buffalo Avenue""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 13545,
        ""last_building_number"": 13545,
        ""street"": ""Califa Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
99,1624 North Coast Highway 101,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1624,
        ""last_building_number"": 1624,
        ""street"": ""North Coast Highway 101""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
100,41 Loughlin Road,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 41,
        ""last_building_number"": 41,
        ""street"": ""Loughlin Road""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
101,"240, 262, 278 N. 5th Street, 225, 251 N. Neilston Street",False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 240,
        ""last_building_number"": 240,
        ""street"": ""N. 5th Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 262,
        ""last_building_number"": 262,
        ""street"": ""N. 5th Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 278,
        ""last_building_number"": 278,
        ""street"": ""N. 5th Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 225,
        ""last_building_number"": 225,
        ""street"": ""N. Neilston Street""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 251,
        ""last_building_number"": 251,
        ""street"": ""N. Neilston Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
102,100 & 150 College Road West,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 100,
        ""last_building_number"": 100,
        ""street"": ""College Road West""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 150,
        ""last_building_number"": 150,
        ""street"": ""College Road West""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
103,1000 Chesterbrook Boulevard,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1000,
        ""last_building_number"": 1000,
        ""street"": ""Chesterbrook Boulevard""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
104,955 Broadway & 1715 Aurora Avenue,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 955,
        ""last_building_number"": 955,
        ""street"": ""Broadway""
    },
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 1715,
        ""last_building_number"": 1715,
        ""street"": ""Aurora Avenue""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
105,241 Ridge Street,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 241,
        ""last_building_number"": 241,
        ""street"": ""Ridge Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
106,5000 Meadowood Mall Circle,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 5000,
        ""last_building_number"": 5000,
        ""street"": ""Meadowood Mall Circle""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
107,23461 South Pointe Drive,False,"[
    {
        ""address_type"": ""exact"",
        ""first_building_number"": 23461,
        ""last_building_number"": 23461,
        ""street"": ""South Pointe Drive""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
108,1650-1720 Sherman Boulevard,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 1650,
        ""last_building_number"": 1720,
        ""street"": ""Sherman Boulevard""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
109,255-261 Hamilton Avenue & 541-545 Ramona Street,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 255,
        ""last_building_number"": 261,
        ""street"": ""Hamilton Avenue""
    },
    {
        ""address_type"": ""range"",
        ""first_building_number"": 541,
        ""last_building_number"": 545,
        ""street"": ""Ramona Street""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
110,14810-14900 Manchester Boulevard,False,"[
    {
        ""address_type"": ""range"",
        ""first_building_number"": 14810,
        ""last_building_number"": 14900,
        ""street"": ""Manchester Boulevard""
    }
]",cyankiwi/gemma-4-12B-it-AWQ-INT4
