id,address,city,state,zip
62,5601 Pacific Highway East,Fife,WA,98424
63,9550 West Sahara Avenue,Las Vegas,NV,89117
64,251-255 Najoles Road,Millersville,MD,21108
65,8570 Hermosa Avenue,Rancho Cucamonga,CA,91730
66,"16505 & 16541 Redmond Way and 16421, 16528 & 16564 Cleveland Street",Redmond,WA,98052
67,Clinton Street,Hudson,OH,44236
68,2828 West Thunderbird Road,Phoenix,AZ,85053
69,1210 Parklane Road,Mccomb,MS,39648
70,1415 Main Street,Dunedin,FL,34698
71,1743 Park Center Drive,Orlando,FL,32835
72,10935 US Highway 98 West,Miramar Beach,FL,32550
73,1250 Tech Drive,Norcross,GA,30093
74,38 West 9th Street,New York,NY,10011
75,245 Front Street,Key West,FL,33040
76,500 South Salina Street,Syracuse,NY,13202
77,33 Homestretch Lane,Crawfordville,FL,32327
78,"1869 Mintwood Place, NW",Washington,DC,20009
79,12655 Southwest Freeway,Stafford,TX,77477
80,6730 4th Avenue,Sacramento,CA,95817
81,3585-3595 Central Avenue,Fort Myers,FL,33901
82,1805 30th Street Northwest,Bemidji,MN,56601
83,1106 N. St. Augustine Road,Valdosta,GA,31601
84,10282-10492 Trask Avenue,Garden Grove,CA,92843
85,13414 Clayton Road,St. Louis,MO,63131
86,805 NE Kane Drive,Gresham,OR,97030
87,45 Clinton Avenue,Brooklyn,NY,11205
88,1620 Bay Area Boulevard,Houston,TX,77058
89,25 High Street,Waldorf,MD,20602
90,120 Old Post Road,Rye,NY,10580
91,2500 Marcus Avenue,Lake Success,NY,11042
92,4339 Cutler Avenue NE,Albuquerque,NM,87110
93,3301 Hampton Highway,Yorktown,VA,23693
94,8343 Hogan Road,Jacksonville,FL,32216
95,9-58 Cynthias Place,Fredericksburg,VA,22406
96,6003 Old Bullard Road,Tyler,TX,75703
97,"1700, 1710, 1716, 1730 4th Street",Berkeley,CA,94710
98,5914 Buffalo Avenue and 13545 Califa Street,Van Nuys,CA,91401
99,1624 North Coast Highway 101,Encinitas,CA,92024
100,41 Loughlin Road,Binghamton,NY,13904
101,"240, 262, 278 N. 5th Street, 225, 251 N. Neilston Street",Columbus,OH,43215
102,100 & 150 College Road West,Princeton,NJ,08540
103,1000 Chesterbrook Boulevard,Berwyn,PA,19312
104,955 Broadway & 1715 Aurora Avenue,Boulder,CO,80302
105,241 Ridge Street,Reno,NV,89501
106,5000 Meadowood Mall Circle,Reno,NV,89502
107,23461 South Pointe Drive,Laguna Hills,CA,92653
108,1650-1720 Sherman Boulevard,Muskegon,MI,49445
109,255-261 Hamilton Avenue & 541-545 Ramona Street,Palo Alto,CA,94301
110,14810-14900 Manchester Boulevard,Ballwin,MO,63011
111,8700 Turnpike Drive,Westminster,CO,80031
112,6400-6500 Landsdowne Centre,Alexandria,VA,22315
113,7941 Tara Boulevard,Jonesboro,GA,30274
114,432 South Arroyo Parkway,Pasadena,CA,91105
115,5324 Jefferson Davis Highway,Fredericksburg,VA,22408
116,"228 Timberbrook Lane and 1209, 1213, 1237, 1246-54, 1279 26th Street SE","Hickory, Granite Falls",NC,28630
117,36-02 35th Avenue,Astoria,NY,11106
118,202-208 W. San Ysidro Blvd.,San Ysidro,CA,92173
119,27261-27271 Las Ramblas,Mission Viejo,CA,92691
120,220 Northwest Second Avenue,Portland,OR,97209
121,2905-2993 Duff Road,Lakeland,FL,33810
122,404-406 Broadway,New York,NY,10013
123,595 East Ordnance Road,Glen Burnie,MD,21060
124,4164 St. Elmo Avenue,Memphis,TN,38128
125,133 Fayetteville Street,Raleigh,NC,27601
126,2669/2675 Broadway a/k/a 240 West 102nd Street,New York,NY,10025
127,901 Enterprise Way,Portsmouth City,VA,23704
128,Intersection of Routes 40 & 67,Schaghticoke,NY,12154
129,350 Alumni Road,Newington,CT,06111
130,5151 Lafayette Street/2318 Calle De Luna/ 5122 Calle Del Sol,Santa Clara,CA,95054
131,163 Business Park Drive,Lebanon,TN,37090
132,6427 N. Canton Center Road,Canton Township,MI,48187
133,1500 Lorene Drive,Harvey,LA,70058
134,5712 Cleveland Street,Virginia Beach,VA,23462
135,4300 Pouncey Tract Road,Glen Allen,VA,23060
136,1301 Trumansburg Road,Ithaca,NY,14850
137,1120 Litton Avenue,Nashville,TN,37216
138,5 Peters Canyon Road,Irvine,CA,92606
139,27380 Cook Road,Olmsted Township,OH,44138
140,3421-3433 Broadway,American Canyon,CA,94503
141,4747 Hopyard Road,Pleasanton,CA,94588
142,4701 East Paris Avenue Southeast,Kentwood,MI,49512
143,9601 McAllister Freeway,San Antonio,TX,78216
144,6014 Blanco Road,San Antonio,TX,78216
145,4250 34th Street South,St. Petersburg,FL,33711
146,15920 West Valley Highway,Tukwila,WA,98188
147,1150 Mineral Wells Avenue,Paris,TN,38242
148,35 Carl Street,Lowell,MA,01851
149,1101 Melbourne Road,Euless,TX,76053
150,215 Old Hammock Road,Swansboro,NC,28584
151,41840 Ford Road,Canton Township,MI,48187
152,17474-17580 Yorba Linda Boulevard,Yorba Linda,CA,92886
153,12914 FM 1960 Road West,Houston,TX,77065
154,3091 College Park Drive,The Woodlands,TX,77384
155,1248 Sussex Turnpike,Randolph,NJ,07869
156,"3600, 3601, 3700 O'Donnell Street",Baltimore,MD,21224
157,2801 & 2815 Division Street,St. Cloud,MN,56301
158,85 Metro Park,Rochester,NY,14623
159,140 N. MacDade Blvd.,Glenolden,PA,19036
160,8321 Pines Boulevard,Pembroke Pines,FL,33024
161,5526 Lauretta Street,San Diego,CA,92110
162,2951 Granger Drive,Springfield,IL,62707
163,8600 State Road 84,Davie,FL,33324
164,6390 Plaster Mill Road,Victor,NY,14564
165,200 Main Street,Fort Worth,TX,76102
166,1211 Water Street,Port Townsend,WA,98368
167,606 Highway 79,Hutto,TX,78634
168,1151 East 100 South,Salt Lake City,UT,84102
169,106 St. Philip Street,Charleston,SC,29403
170,4401-4407 4th Avenue,Brooklyn,NY,11220
171,57 Littlefield Street,Avon,MA,02322
172,4954 West Pine Boulevard,St. Louis,MO,63108
173,3920-3950 South Eastern Avenue,Las Vegas,NV,89119
174,64-11 99th Street,Rego Park,NY,11374
175,701-707 Technology Center Drive,Stoughton,MA,02072
176,2301 E. Lamar Blvd.,Arlington,TX,76006
177,5651  East Edison Street,Tucson,AZ,85712
178,4605 Kirkwood Highway,Wilmington,DE,19808
179,1333 Burr Ridge Rd.,Burr Ridge,IL,60521
180,3961 Lake Tahoe Boulevard,South Lake Tahoe,CA,96150
181,1500 South Lamar Boulevard,Austin,TX,78704
182,805-955 Garden of the Gods Road,Colorado Springs,CO,80907
183,2102 North Walnut Street,Ellensburg,WA,98926
184,4835 North Cedar Avenue,Fresno,CA,93726
185,123 West 7th Street,North Little Rock,AR,72114
186,295 Highway 90 (at Dunbar Ave),Bay St. Louis,MS,39520
187,4100 North Marine Drive,Chicago,IL,60613
188,4701 Charles Place,Plano,TX,75093
189,100 Connetquot Avenue,East Islip,NY,11730
190,NWC W. Florissant Road & Dunn Road,Florissant,MO,63033
191,101 Rogers Street,Cambridge,MA,02142
192,1865 Hotel Circle South,San Diego,CA,92108
193,8799 Balboa Ave,San Diego,CA,92123
194,1900 Tamiami Trail North,Naples,FL,34102
195,211 South Federal Highway,Boynton Beach,FL,33435
196,6208 Lawn Drive,Hodgkins,IL,60525
197,"361, 381, 370 Mallory Station Road, 206 Gothic Court",Franklin,TN,37067
198,43-53 Mineola Avenue,Roslyn Heights,NY,11577
199,126 12th Street,Wellsburg,WV,26070
200,20992 Bridge Street,Southfield,MI,48033
201,3499 E Bayshore Road,Redwood City,CA,94063
202,100 Independence Way,Princeton,NJ,08540
203,300 North Nova Road,Ormond Beach,FL,32174
204,8802 Evergreen Avenue,Indianapolis,IN,46240
205,5201-5409 Washington Avenue,Mount Pleasant,WI,53406
206,1781 Jones Way,Oxnard,CA,93033
207,5500 Ridge Road,Cincinnati,OH,45213
208,599 Avenue Z,Brooklyn,NY,11223
209,770 Ocean Parkway,Brooklyn,NY,11230
210,1575 North Sandusky Avenue,Bucyrus,OH,44820
211,1011 Highway 71,Bastrop,TX,78602
212,"20770 Westwood Dr, 21848 Commerce Pkwy, 23221 Morgan Ct & 28600 Fountain Pkwy",Cleveland,OH,
213,7901 Flying Cloud Drive,Eden Prairie,MN,55344
214,3320 Thompson Bridge Road,Gainesville,GA,30501
215,101-102 College Station Drive,Brevard,NC,28712
216,1200 N Street,Lincoln,NE,68508
217,360 North Crescent Drive,Beverly Hills,CA,90210
218,213 2nd Avenue,New York,NY,10003
219,3501 North Granville Avenue,Muncie,IN,47303
220,9117 Winton Road,Cincinnati,OH,45231
221,215-225 Route 73 North,Berlin,NJ,08009
222,16027-16205 Brookhurst Street,Fountain Valley,CA,92708
223,3102-3214 North Main,Taylor,TX,76574
224,755 Telshor Boulevard,Las Cruces,NM,88001
225,4940 Belleville Circle,South Bend,IN,46619
226,340-10 West Duarte Road,Monrovia,CA,91016
227,4220 Pasadena Boulevard,Pasadena,TX,77503
228,2605 Franklin Road,Mesquite,TX,75150
229,"450 H Street, NW",Washington,DC,20001
230,3601 W. Orange Avenue,Anaheim,CA,92804
231,7100 Georgia Highway 85,Riverdale,GA,30274
232,1 Apollo Drive,Glen Falls,NY,12801
233,254 Daniel Webster Highway,Nashua,NH,30605
234,185 Billy Mitchell Blvd,Brownsville,TX,78521
235,20704 Earl Street,Torrance,CA,90503
236,50555-50659 Gratiot Avenue,Chesterfield,MI,48051
237,4343 Victory Drive,Columbus,GA,31903
238,5251 Business Center Drive,Fairfield,CA,94534
239,9115 Digital Drive,Manassas Park,VA,20110
240,"1695, 1705, & 1715 Indian Wood Circle",Maumee,OH,43537
241,7209 International Drive,Orlando,FL,32819
242,3300-3310 East Rancier Avenue,Killeen,TX,76543
243,8010 & 8020 Towers Crescent Drive,Vienna,VA,22182
244,830 & 840 Sunset Drive,Athens,GA,30601
245,2901-2931 North Tenaya Way,Las Vegas,NV,89128
246,13050 & 13101 Northeast 16th Avenue,North Miami,FL,33181
247,333 West Kilbourn Avenue,Milwaukee,WI,53203
248,1163-1191 Boylston St.,Boston,MA,02115
249,231 S. 177th Place,Burien,WA,98148
250,1200 US Highway 190,Covington,LA,70433
251,7326 College Street,Irmo,SC,29063
252,926-942 West Orangethorpe Avenue,Fullerton,CA,92832
253,150-300 North Hurstbourne Parkway,Louisville,KY,40222
254,16233 Sylvester Road Southwest,Burien,WA,98166
255,I-95 and Duval Road,Jacksonville,FL,32218
256,4243 Forest Creek Court,Kentwood,MI,49512
257,7767 La Riviera Drive,Sacramento,CA,95826
258,1912 Green Mountain Drive,Little Rock,AR,72211
259,77 Sugar Creek Center Boulevard,Sugarland,TX,77478
260,901 North Garden Ridge Boulevard,Lewisville,TX,75077
261,16602-16668 San Pedro Avenue,San Antonio,TX,78232
262,299 Miller Road,Mauldin,SC,29662
263,345 Commonwealth Drive,Wytheville,VA,24382
264,400 Burman Avenue,Trotwood,OH,45426
265,480 Gate 5 Road,Sausalito,CA,94965
266,805-815 Fiero Lane,San Luis Obispo,CA,93401
267,7401-7415 Slater Avenue,Huntington Beach,CA,92647
268,4855 Technology Way,Boca Raton,FL,33431
269,6605 & 6607 South Semoran Boulevard,Orlando,FL,32822
270,155 Hill Street,Milford,CT,06460
271,150 Fisher Drive,Avon,CT,06103
272,5-19 Delavan Street,Brooklyn,NY,11231
273,1265 Dewar Drive,Rock Springs,WY,82901
274,720 University Drive East,College Station,TX,77840
275,"1429 Seventh Street, 1202 Lincoln Avenue, 1434, 1617, 1801 Ninth Street",Charleston,IL,61920
276,901 East 18th Avenue,Ellensburg,WA,98926
277,10118 W. 119th Street,Overland Park,KS,66210
278,40 Ali Way,Oxford,AL,36203
279,121 Bass Harbor Road,Southwest Harbor,ME,04679
280,One Govenor Drive,Newburgh,NY,12550
281,701 East Market Street,Leesburg,VA,20176
282,301 Northstonestreet Avenue,Rockville,MD,20850
283,704 West Sunset Road,Henderson,NV,89015
284,1661 and 1919 County Road 313,Jarrell,TX,76537
285,2201 I-35E South,Denton,TX,76205
286,915 Cedartree Lane,Claymont,DE,19703
287,13697 West Colonial Drive,Winter Garden,FL,34787
288,43-45 Crossways Park Drive,Woodbury,NY,11797
289,Old Canton Road & NWC Upper Roswell Road,Marietta,GA,30062
290,225 West 80th Street,New York,NY,10024
291,1621 SUPER PLAZA,Hutchinson,KS,67501
292,131 Baroni Avenue,San Jose,CA,95136
293,2420 East 14 Mile Road,Warren,MI,48092
294,30 Fifth Avenue a/k/a 28/34 5th Avenue a/k/a 2/8 West 10th Street,New York,NY,10011
295,7617 West North Avenue,River Forest,IL,60305
296,2715 Bissonnet Street,Houston,TX,77005
297,2100 South Avenue A,Yuma,AZ,85364
298,100 East Highway 287,Midlothian,TX,76065
299,3801 Gaston Avenue,Dallas,TX,75246
300,14047 Emerald Coast Parkway,Destin,FL,32541
301,360 Main Street,Hartford,CT,06106
302,1435-1445 E. Ft. Lowell Rd.,Tucson,AZ,85719
303,Rte 9,Barrington,NH,03825
304,9575 SW Locust Street,Tigard,OR,97223
305,410 East 23rd Street,Roswell,NM,88201
306,1400 Lowell Street,Elyria,OH,44035
307,2900-3030 Horshoe Drive South and 3050 Horshoe Drive North,Naples,FL,34104
308,1355 West Maple Avenue,Mundelein,IL,61941
309,8183-8187 West Fairfield Drive,Pensacola,FL,32506
310,310 Grand Central Boulevard,Laredo,TX,78045
311,9009 North FM 620,Austin,TX,78726
312,5202 Almeda Road,Houston,TX,77004
313,1100 E. 7th Street,Long Beach,CA,90813
314,5061 Beech Place,Temple Hills,MD,20748
315,4100 Midway Road,Carrollton,TX,75007
316,655 West Warner Road,Tempe,AZ,85284
317,"6000-34 Amberwood,5619-29 Frankford,6052-56 Moravia Park,5602-06Albanene",Baltimore,MD,21206
318,2475 Robb Drive,Reno,NV,89523
319,601-611 Lincoln Avenue,Bellevue,PA,15202
320,3100 East Imperial Highway,Lynnwood,CA,90262
321,910 Lincoln Street,Portsmouth,VA,23704
322,1680 Westbrook Plaza Drive,Winston Salem,NC,27103
323,410 Severn Avenue,Annapolis,MD,21403
324,170-180 West Westfield Avenue,Roselle Park,NJ,07204
325,30 Arcadia Road,Hackensack,NJ,07601
326,1401-1409 West San Carlos Street,San Jose,CA,95126
327,801 Market Street and 22 4th Street,San Francisco,CA,94103
328,7024 Smith Corner Boulevard,Charlotte,NC,28269
329,401 Maplewood Drive,Jupiter,FL,33458
330,68-37 108th Street,Forest Hills,NY,11375
331,11681-11721 Westminster Avenue and 13481-13882 A Better Way,Garden Grove,CA,92843
332,2170 Trawood Road,El Paso,TX,79935
333,1442 North Church Street,Mckinney,TX,75069
334,10970 - 11000 S. Parker Rd.,Parker,CO,80134
335,1440-1450 West Patrick Street,Frederick,MD,21701
336,6420 Poplar Avenue,Memphis,TN,38119
337,6456 Outer Loop,Louisville,KY,40228
338,5515 River Avenue,Newport Beach,CA,92663
339,13750 West Colonial Drive,Winter Garden,FL,34787
340,250 Westport Avenue,Norwalk,CT,06851
341,1107 Highland Colony Parkway,Ridgeland,MS,39157
342,"1500, 1621 and 1701 South Fresno Street",Ft. Smith,AR,72901
343,417 W. Barry Avenue/3030 N. Sheridan Road,Chicago,IL,60657
344,2101 Camino Ramon,San Ramon,CA,94583
345,28601 Chagrin Boulevard,Woodmere,OH,44122
346,3947 Pleasant Run Road,Irving,TX,75038
347,6790 Daniels Parkway,Fort Myers,FL,33912
348,821 N. Nellis Boulevard,Las Vegas,NV,89110
349,101 South Marengo Avenue,Pasadena,CA,91101
350,1251 Clay Court,Deer Park,TX,77536
351,2308 Broadway,Santa Monica,CA,90404
352,130 East 75th Street,New York,NY,10021
353,1120-1130 Bird Avenue,San Jose,CA,95125
354,7111 and 7171 North Austin Avenue,Niles,IL,60714
355,13890 NE 3rd Court,North Miami,FL,33181
356,4265 San Felipe Street,Houston,TX,77027
357,9670 Halsey Road,Lenexa,KS,66215
358,11055 Bell Road,Duluth,GA,30097
359,1275 Commerce Blvd.,American Canyon,CA,94589
360,402 31st Street Northeast,Rochester,MN,55906
361,4523 North Pine Hills Road,Orlando,FL,32808
362,7848 E. Hill Road,Mt. Airy,MD,21771
363,11000 Richmond Avenue,Houston,TX,77042
364,4000 South Sherwood Forest Boulevard,Baton Rouge,LA,70816
365,156 East 61st Street,New York,NY,10021
366,7400 West Colonial Drive,Orlando,FL,32818
367,6100 4th Avenue South,Seattle,WA,98108
368,5171 N.W. 43rd Street,Gainesville,FL,32606
369,841 Sparkleberry Lane,Columbia,SC,29229
370,6855 Lyons Technology Circle,Coconut Creek,FL,33073
371,501 West Central Texas Expressway,Killeen,TX,76541
372,3939 South Park Avenue,Tucson,AZ,85714
373,9350 Wilshire Boulevard,Los Angeles,CA,90212
374,355 Adrian Road,Millbrae,CA,94030
375,3025 E. Park Row,Arlington,TX,76010
376,101 North Main Street,Ann Arbor,MI,48104
377,6302-6360 W. Third St/ 300-370 S. Fairfax Ave./ 347 Ogden Dr,Los Angeles,CA,90048
378,1524 East Dowling Road,Anchorage,AK,99503
379,1100 Branson Hills Parkway,Branson,MO,65616
380,835-855 Greens Parkway,Houston,TX,77067
381,621 North Governor Printz Boulevard,Essington,PA,19029
382,701 Town Center Drive,Newport News,VA,23606
383,345 South Cloverdale Avenue,Los Angeles,CA,90036
384,4711 S Himes Ave,Tampa,FL,33611
385,"16184, 16192, 16212 and 16232 Foothill Boulevard; 8023 Citrus Avenue",Fontana,CA,92335
386,3355 East Fort Lowell Road,Tucson,AZ,85716
387,185/187/189 Chelmsford St.,Chelmsford,MA,01824
388,39 W 56th Street,New York,NY,10019
389,3821 Marconi Avenue,Sacramento,CA,95821
390,6818 Northbury Lane,Charlotte,NC,28226
391,170 McCutcheon Road,Triadelphia,WV,26059
392,2705 & 2619 South Tacoma Way & 3016 South Fife St.,Tacoma,WA,98409
393,2807-2927 Elliott & 33653 Dequindre Rd.,Troy,MI,48083
394,"300 M Street, SE",Washington,DC,20003
395,2100 Acklen Avenue,Nashville,TN,37212
396,5 Ruth Road,Elsmere,DE,19805
397,401 Whitehorse Road,Voorhees Township,NJ,08043
398,3660 Cascade Road,Atlanta,GA,30331
399,35 Tri County Parkway,Cincinnati,OH,45246
400,3501-3511 Hancock Street; 3502-3550 Kurtz Street,San Diego,CA,92110
401,542 Williamsburg Court,Wooster,OH,44691
402,2505 Chastain Meadows Parkway,Marietta,GA,30066
403,949-59 East Aurora Road,Macedonia,OH,44056
404,181 Maple Avenue,Rockville Center,NY,11570
405,12404 Warwick Boulevard,Newport News,VA,23606
406,5160 Vineland Avenue,North Hollywood,CA,91601
407,87-97 Boston Turnpike,Shrewsbury,MA,01545
408,351 Turk Street,San Francisco,CA,94102
409,Mill Road,Upper Providence Township,PA,19403
410,600 South Broadway,Sylacauga,AL,35150
411,6800 Woodstork Road,Tampa,FL,33637
412,2296 Henderson Mill Road,Atlanta,GA,30309
413,9150 South Dairy Ashford,Houston,TX,77099
414,200 Bristol Street,Perry,GA,31069
415,1430 South Dixie and 1430 Madruga Avenue,Coral Gables,FL,33146
416,"3549 Iowa Road, 3549A Iowa Road, 3549B Iowa Road, 3549C Iowa Road, 3549D Iowa Road, 3549E Iowa Road, 3549F Iowa Road",Riverside,CA,92507
417,11707 Vance Jackson Road,San Antonio,TX,78230
418,28032 Marguerite Parkway,Mission Viejo,CA,92692
419,"7177 Ames Avenue, 7051 Ames Avenue, 4455-4457 North 72nd Street",Omaha,NE,68134
420,1 Nestle Court,Mcdonough,GA,30253
421,12051 W. Sunrise Boulevard,Broward,FL,33323
422,4405 Continental Drive,Flint Township,MI,48507
423,314 South Erie Drive,Fort Pierce,FL,34946
424,10621 Sepulveda Boulevard,Mission Hills,CA,91345
425,1415 West Airport Freeway,Irving,TX,75062
426,2111 East Rawson Avenue,Oak Creek,WI,53154
427,1900 Hogan Lane,Conway,AR,72034
428,4201 S Shackleford Road,Little Rock,AR,72204
429,1376 South Main Street,Greenwood,SC,29646
430,1692-1702 and 1706 Union Street,Brooklyn,NY,11213
431,2209 Miguel Chavez Road,Santa Fe,NM,87505
432,4201-4207 Kitsap Way,Bremerton,WA,98312
433,121 Days Inn Drive,Easley,SC,29640
434,4249 & 4279 Lien Road,Madison,WI,53704
435,2800 Martin Luther King Jr. Drive,Atlanta,GA,30311
436,1643 Martin Luther King Jr Boulevard,Houma,LA,70360
437,1500 Froom Ranch Way,San Luis Obispo,CA,93405
438,"7580,7588,7596 Parkway Drive",Leeds,AL,35094
439,1655 and 1675 Robb Drive,Reno,NV,89523
440,2100 West Loop South,Houston,TX,77027
441,150-152 East 83rd Street,New York,NY,10028
442,100 PRAIRIE CENTER DR,Eden Prairie,MN,55344
443,9610 North Allisonville Road,Fishers,IN,46038
444,11701 Park Lane South,Kew Gardens,NY,11418
445,1400 East 57th Street,Chicago,IL,60637
446,1034 Elm Avenue,Americus,GA,31709
447,One-Three Bridge Street,Irvington,NY,10533
448,10945-10947 Causeway Boulevard,Brandon,FL,33511
449,21-77 33rd Street,Astoria,NY,11105
450,14825 St. Marys Lane,Houston,TX,77079
451,3308-3466 Bragg Boulevard,Fayetteville,NC,28303
452,145 Sable Pointe Drive,Hurricane,WV,25526
453,29 East 61st Street,New York,NY,10021
454,2010 South Westgate Avenue,Los Angeles,CA,90025
455,2003-2033 West McNab Road,Pompano Beach,FL,33069
456,12618 Studebaker Road,Norwalk,CA,90650
457,8225  Mercury Court,San Diego,CA,92111
458,6412 Beulah Street,Franconia,VA,22310
459,173 Main Street and 10 Catherine Street,Norwalk,CT,06851
460,2402 Bay Area Boulevard,Houston,TX,77058
461,"6518, 6520, 6522 South McCarran Boulevard",Reno,NV,89509
462,11900 South Street,Lincoln Station,CA,90701
463,2339 Route 9,Ocean View,NJ,08230
464,4210 Portsmouth Blvd.,Chesapeake,VA,23321
465,4801-4929 Allentown Road,Camp Springs,MD,20746
466,2518  2nd Street North Bldg,Minneapolis,MN,55411
467,33 Fifth Avenue,New York,NY,10001
468,12100 Blue Valley Parkway,Overland Park,KS,66213
469,744 West Fallbrook Street,Fallbrook,CA,92028
470,2480 Fairview Avenue North,Roseville,MN,55113
471,45 Milk Street,Boston,MA,02109
472,1581 U.S. Route 202,Pomona,NY,10970
473,607 West End Avenue,New York,NY,10024
474,1104 140th Street East,Tampa,FL,33613
475,1001 Harvey Road,College Station,TX,77840
476,6100 Southwest Boulevard,Benbrook,TX,76109
477,21522-21526 Ventura Boulevard,Woodland Hills,CA,91364
478,5000 City Line Road,Hampton,VA,23661
479,8120 Timberlake Way,Sacramento,CA,95823
480,2850 East Bonanza Road,Las Vegas,NV,89101
481,886 North A1A/2 Fairfield Boulevard,Ponte Vedra Beach,FL,32082
482,11233 Shadow Creek Parkway,Pearland,TX,77584
483,1224 North Albert Pike Avenue,Fort Smith,AR,72904
484,3701-3799 20th Avenue,Valley,AL,36854
485,14315 Midway Road,Addison,TX,75001
486,1202 East Mulberry Avenue,San Antonio,TX,78209
487,111-123 Bath Avenue,Long Branch,NJ,07740
488,1272 Highway 36,Hazlet,NJ,07730
489,5080 Riverside Drive,Macon,GA,31210
490,"15, 35, 45, 65 Division Avenue",Eugene,OR,97404
491,80 West County Center,Des Peres,MO,63131
492,874 County Street,Taunton,MA,02780
493,4002 Montdale Drive,Valparaiso,IN,46383
494,2801 Stonebridge Boulevard,New Castle,DE,19720
495,180 West Grange Avenue,Milwaukee,WI,53207
496,5400 Preston Oaks,Dallas,TX,75254
497,845 Village Boulevard,Abingdon,VA,24210
498,6912 Milwood Avenue,Canoga Park,CA,91303
499,39331-39523 10th Street West,Palmdale,CA,93551
500,2575 98th Avenue,Vero Beach,FL,32966
501,"500 Exeter Hall,2801-2849 Greenmount Ave,2900 Mathews St.",Baltimore,MD,21218
502,701 East King Street,Shippensburg,PA,17257
503,7000 Muirkirk Meadows Drive,Laurel,MD,20707
504,4700 S. McClintock Drive,Tempe,AZ,85282
505,2801 South Marsh Avenue,Yorktown,IN,47396
506,9203 Skillman Street,Dallas,TX,75243
507,12829 Bear Valley Road,Victorville,CA,92392
508,1001 Winstead Drive,Cary,NC,27513
509,460 Wythe Creek Road,Poquoson,VA,23662
510,7300-7422 Carmel Executive Park Drive,Charlotte,NC,28226
511,3003 Corporate West Drive,Lisle,IL,60532
512,4040 Royal Lane,Irving,TX,75063
513,1325 Eastern Parkway,Brooklyn,NY,11233
514,360 West 22nd Street,New York,NY,10011
515,3730 Ingleside Boulevard,North Charleston,SC,29456
516,10280 Maysville Road,Fort Wayne,IN,46835
517,1250 Western Boulevard,Jacksonville,NC,28546
